codigo_postal,Income_Range,V_PROFESSION_CD,V_SEX,N_COLL_SCHOLARSHIP_LEVEL,EDAD,ID,AGEB
36630,2,24.0,1.0,6,27,1,211-0
2459,3,13.0,2.0,3,26,2,027-5
50214,4,1.0,2.0,5,25,3,306-8
43995,4,6.0,1.0,5,37,5,066-2
52773,2,6.0,1.0,5,29,6,070-2
89602,1,6.0,1.0,5,30,7,120-1
53490,2,20.0,1.0,2,61,8,173-7
77086,4,5.0,1.0,5,29,9,280-6
1870,1,6.0,2.0,4,33,12,204-2
56585,2,6.0,1.0,1,24,13,124-5
52924,3,2.0,1.0,5,29,14,143-1
1530,4,6.0,1.0,5,38,15,209-5
62739,3,6.0,1.0,5,28,16,097-9
6300,4,6.0,1.0,3,28,18,063-A
45613,7,6.0,1.0,5,24,19,288-A
41500,7,11.0,2.0,5,60,20,010-A
55620,3,4.0,1.0,5,25,21,040-A
68120,2,6.0,1.0,3,23,23,099-0
22205,2,6.0,2.0,4,46,24,526-4
54469,2,6.0,2.0,3,24,25,040-A
57150,3,2.0,2.0,2,33,27,019-1
50170,3,6.0,2.0,5,26,28,333-5
2980,4,6.0,2.0,3,24,29,077-3
56020,3,26.0,1.0,5,30,30,015-9
53700,3,6.0,1.0,2,25,31,220-3
42500,5,6.0,2.0,5,32,32,034-9
13420,2,9.0,1.0,4,37,33,080-4
7630,4,24.0,1.0,5,33,35,037-0
53660,3,26.0,1.0,5,24,36,032-A
97470,2,2.0,1.0,5,25,37,016-6
7200,2,6.0,1.0,2,37,38,020-5
21330,2,24.0,1.0,5,31,39,280-A
44330,2,9.0,2.0,5,25,40,485-1
56643,3,5.0,1.0,4,28,43,215-9
36970,3,37.0,1.0,2,59,44,018-6
29140,2,5.0,1.0,5,23,45,042-1
72590,3,20.0,1.0,5,58,46,457-6
9500,3,5.0,1.0,5,24,47,108-7
76148,4,2.0,2.0,5,28,48,381-0
1500,3,6.0,2.0,3,26,49,230-5
7240,3,6.0,2.0,5,29,50,024-3
53689,3,6.0,2.0,4,27,51,217-1
14380,4,6.0,2.0,5,26,52,100-0
2710,2,2.0,1.0,5,42,53,107-6
76150,3,2.0,1.0,5,25,54,121-2
53426,1,6.0,2.0,5,33,55,204-4
11410,3,6.0,2.0,4,42,56,014-3
39990,3,35.0,1.0,3,37,57,062-8
54600,3,24.0,1.0,5,26,58,029-9
15850,2,6.0,1.0,5,31,59,141-6
53650,3,6.0,1.0,3,36,60,208-2
39090,4,36.0,1.0,5,25,61,164-A
94470,2,24.0,2.0,5,37,62,033-2
3100,4,2.0,1.0,6,60,64,058-1
72100,3,6.0,2.0,4,30,65,313-5
62583,2,4.0,1.0,5,27,66,023-1
54189,4,25.0,1.0,4,28,67,117-5
9510,3,2.0,2.0,3,27,68,112-3
43900,3,7.0,1.0,2,25,70,018-6
42186,3,2.0,1.0,5,67,72,153-7
80058,2,6.0,2.0,5,33,73,670-9
89510,6,6.0,2.0,4,25,75,093-6
80246,2,6.0,1.0,5,24,76,193-9
53228,3,6.0,1.0,3,27,77,211-4
32000,4,6.0,1.0,5,26,78,083-A
42088,4,6.0,1.0,5,27,79,257-8
4480,2,6.0,1.0,4,28,82,177-9
31376,1,6.0,2.0,5,28,83,705-9
43680,3,6.0,2.0,5,28,84,070-9
9760,3,7.0,1.0,5,33,85,332-7
11430,1,5.0,1.0,5,40,86,025-1
80058,2,6.0,1.0,5,27,87,670-9
39300,3,6.0,1.0,3,40,88,284-4
54020,3,2.0,2.0,5,29,89,152-7
77509,6,6.0,1.0,5,28,90,033-2
54407,2,6.0,1.0,2,55,91,064-5
3810,4,6.0,1.0,5,34,92,038-4
89290,3,9.0,1.0,5,27,93,113-7
50250,4,6.0,1.0,5,25,94,347-7
56334,3,6.0,2.0,5,30,95,125-1
57800,2,2.0,2.0,3,33,97,156-0
14100,3,6.0,2.0,3,24,98,149-6
13310,2,6.0,1.0,2,36,99,122-A
7630,5,9.0,1.0,5,30,101,037-0
30350,4,2.0,1.0,5,44,102,013-0
52985,2,6.0,1.0,2,23,103,091-2
57710,3,4.0,1.0,5,31,105,098-6
22254,3,25.0,1.0,4,53,106,601-2
6470,3,37.0,2.0,5,31,107,067-8
22245,3,6.0,2.0,3,25,109,460-3
1710,3,6.0,1.0,5,24,110,101-0
13200,3,6.0,2.0,4,48,111,137-6
54020,3,7.0,1.0,5,27,112,152-7
9510,4,37.0,1.0,4,24,113,112-3
9060,3,4.0,2.0,5,57,114,067-6
9638,3,2.0,2.0,5,31,115,483-8
52918,3,1.0,2.0,3,30,116,162-4
29940,2,,1.0,3,34,117,038-6
31124,5,6.0,1.0,5,28,118,843-2
85050,1,6.0,1.0,4,58,119,098-9
70806,3,6.0,1.0,4,24,121,002-4
54130,3,24.0,1.0,5,25,123,208-4
68140,1,4.0,1.0,5,35,124,132-5
44890,2,7.0,1.0,4,43,125,472-4
52773,4,6.0,1.0,5,33,126,070-2
3100,3,13.0,1.0,5,24,128,058-1
15400,2,9.0,1.0,4,26,129,031-4
77536,4,2.0,2.0,5,24,131,082-6
60950,2,9.0,1.0,5,41,132,049-3
54720,2,1.0,2.0,5,23,134,197-5
52107,2,2.0,1.0,5,22,135,005-8
1210,3,6.0,2.0,5,24,136,029-6
4369,3,6.0,1.0,2,24,137,080-2
45640,3,6.0,1.0,3,26,138,135-2
9800,3,6.0,2.0,5,25,139,401-A
51200,2,26.0,1.0,5,28,141,010-2
70760,6,2.0,2.0,5,60,142,055-9
36000,3,2.0,2.0,6,54,143,013-9
7510,3,24.0,1.0,5,27,145,314-4
4600,3,6.0,2.0,5,31,146,100-1
50170,3,9.0,1.0,5,23,147,332-0
11320,3,6.0,1.0,5,25,148,058-6
8700,4,6.0,1.0,4,31,149,059-4
15310,3,6.0,1.0,4,25,150,004-7
42980,2,6.0,1.0,5,24,152,023-7
55100,2,26.0,1.0,3,64,154,208-0
42855,3,6.0,2.0,2,51,156,010-1
76850,1,6.0,1.0,2,42,157,010-8
43600,2,2.0,2.0,5,31,158,069-6
52000,4,6.0,1.0,3,24,159,027-5
7080,4,2.0,1.0,5,23,160,099-1
55090,3,20.0,2.0,5,27,161,022-4
52107,2,6.0,1.0,3,24,162,005-8
93600,4,6.0,1.0,5,28,163,055-2
55600,2,8.0,1.0,5,28,164,053-7
73160,4,6.0,1.0,5,25,165,049-A
87455,2,6.0,1.0,5,35,166,291-5
54955,3,6.0,1.0,3,28,167,142-A
31126,1,6.0,1.0,4,24,169,588-5
86280,3,6.0,2.0,5,26,170,100-7
6600,3,6.0,1.0,5,34,174,095-A
42084,2,2.0,1.0,5,36,175,225-8
9880,3,2.0,1.0,5,28,177,537-6
44810,3,2.0,2.0,5,25,179,513-5
56330,2,6.0,1.0,2,54,182,003-7
55070,2,6.0,1.0,4,41,183,472-5
53790,1,6.0,2.0,5,24,188,159-7
55490,3,26.0,1.0,2,26,189,279-0
7860,2,6.0,1.0,5,51,190,206-1
22245,3,6.0,1.0,4,39,191,680-7
29019,2,24.0,1.0,5,28,192,292-3
56615,5,6.0,2.0,5,29,196,102-7
54189,3,2.0,2.0,5,28,197,156-5
32575,2,6.0,1.0,3,58,198,650-4
96576,4,6.0,1.0,2,49,199,132-4
4369,2,4.0,2.0,3,22,200,078-5
28860,1,9.0,2.0,5,47,201,009-A
54770,4,6.0,1.0,5,23,203,019-6
52105,2,6.0,2.0,3,23,204,030-6
66646,2,6.0,1.0,5,39,205,162-8
43930,3,6.0,1.0,2,23,206,004-5
39900,2,2.0,2.0,3,23,207,418-3
54720,6,24.0,1.0,5,37,208,196-0
52170,4,2.0,1.0,5,46,209,097-2
58000,3,2.0,2.0,5,61,211,039-7
25090,2,5.0,2.0,4,53,212,473-4
23473,4,1.0,2.0,5,40,213,172-5
52985,6,4.0,2.0,5,43,214,091-2
29940,2,,1.0,3,25,215,021-0
55885,2,6.0,1.0,3,40,217,034-0
81223,4,1.0,1.0,5,25,218,002-7
67117,3,2.0,1.0,3,31,219,243-6
4369,3,13.0,2.0,5,26,221,079-A
50040,4,6.0,2.0,5,26,222,210-6
27087,2,6.0,1.0,5,32,223,336-1
98500,3,7.0,1.0,4,23,225,042-0
15530,3,6.0,2.0,3,21,226,056-4
55717,3,2.0,1.0,5,31,227,014-1
20040,2,6.0,1.0,3,31,231,041-1
54189,2,6.0,2.0,5,28,232,156-5
4369,2,4.0,2.0,3,24,233,078-5
54743,4,24.0,1.0,2,33,235,177-8
97148,3,28.0,2.0,6,27,236,486-7
16800,3,26.0,2.0,5,41,237,082-8
56350,3,2.0,1.0,5,31,238,124-7
83499,4,2.0,1.0,3,43,239,116-2
1400,2,6.0,2.0,2,29,240,236-2
9700,2,15.0,1.0,2,30,241,551-6
14250,3,6.0,2.0,3,25,242,219-3
1550,3,24.0,2.0,5,30,243,224-A
39760,3,6.0,1.0,3,27,244,246-9
66473,3,24.0,1.0,5,23,245,137-5
7080,4,6.0,1.0,5,30,246,099-1
44720,3,6.0,2.0,5,33,247,526-2
11320,4,26.0,1.0,5,28,248,058-6
8100,2,4.0,1.0,5,23,249,001-A
52977,3,6.0,1.0,5,38,250,078-7
9208,2,27.0,1.0,4,42,251,469-8
55450,2,27.0,1.0,2,28,253,049-3
56430,3,6.0,1.0,3,32,254,015-8
2710,2,6.0,2.0,5,39,257,107-6
9530,2,26.0,2.0,5,30,258,062-3
57100,3,6.0,2.0,5,28,259,194-6
4330,2,6.0,1.0,5,25,260,029-1
91098,2,6.0,2.0,5,22,262,180-0
7839,3,9.0,1.0,5,25,263,188-1
55749,3,6.0,1.0,5,62,264,071-5
45030,4,24.0,2.0,5,27,265,461-A
56613,3,6.0,2.0,5,31,266,037-2
88650,3,6.0,1.0,4,26,268,109-7
83600,2,24.0,1.0,4,48,270,138-8
75718,3,6.0,1.0,5,46,271,171-1
42084,4,2.0,1.0,5,25,272,134-9
45200,2,7.0,1.0,5,32,273,389-5
39650,3,6.0,1.0,4,44,274,237-A
7839,2,6.0,1.0,3,23,275,188-1
32677,2,2.0,2.0,3,25,278,231-9
8500,1,6.0,1.0,5,24,279,031-0
58120,2,35.0,1.0,5,61,280,231-7
57000,3,6.0,2.0,3,42,281,058-1
56607,1,6.0,1.0,3,56,282,081-A
55885,2,2.0,2.0,3,45,284,034-0
9560,3,6.0,2.0,4,28,285,253-0
39901,4,2.0,2.0,3,26,286,536-A
7800,4,5.0,1.0,5,58,287,157-6
7580,3,6.0,2.0,5,29,288,190-9
54473,3,6.0,1.0,3,25,289,062-6
68000,4,6.0,2.0,5,32,290,092-9
22207,2,6.0,1.0,2,27,291,229-3
27089,2,29.0,1.0,2,26,292,265-A
52940,3,6.0,1.0,3,27,293,100-3
54955,2,6.0,1.0,2,24,294,079-4
96430,4,6.0,1.0,3,25,295,099-A
55300,3,6.0,1.0,5,23,296,169-9
6900,2,2.0,1.0,5,31,297,043-2
50450,4,9.0,2.0,5,31,298,042-6
56430,4,6.0,1.0,5,33,299,015-8
7969,3,24.0,1.0,5,27,300,211-2
52976,1,1.0,1.0,3,23,301,022-1
42980,6,20.0,2.0,4,70,302,014-8
54954,3,7.0,1.0,4,26,304,064-8
57740,3,6.0,1.0,4,43,305,124-0
54140,3,6.0,1.0,2,26,306,205-0
4369,3,6.0,1.0,4,35,307,061-A
16500,5,24.0,1.0,3,25,308,137-0
3100,6,6.0,1.0,5,27,309,041-6
72590,4,2.0,1.0,3,26,310,651-5
94240,3,1.0,1.0,5,32,312,021-2
86090,2,5.0,1.0,5,35,313,257-5
80020,4,6.0,1.0,5,40,314,398-8
61250,3,2.0,2.0,5,26,315,020-0
55390,2,26.0,2.0,5,23,316,124-1
54414,4,6.0,1.0,3,30,317,013-2
54180,4,6.0,1.0,5,36,319,158-4
52779,2,6.0,2.0,5,24,320,053-9
54070,1,6.0,1.0,5,26,321,064-1
99089,4,9.0,1.0,5,34,322,091-4
54960,4,6.0,2.0,5,32,323,059-A
42083,2,6.0,1.0,5,33,324,054-8
50295,2,6.0,1.0,5,23,326,219-7
56377,4,2.0,1.0,5,27,327,006-2
7269,4,6.0,1.0,5,38,328,320-A
55717,2,7.0,1.0,2,26,329,014-1
62600,2,6.0,1.0,3,27,330,015-5
22470,2,6.0,1.0,2,25,331,241-4
29077,3,9.0,1.0,3,36,332,057-5
7580,4,2.0,1.0,5,42,333,191-3
43740,6,6.0,1.0,2,39,335,031-3
9360,3,5.0,1.0,5,26,336,124-6
22500,3,1.0,1.0,3,28,337,744-9
89510,5,2.0,1.0,8,30,338,090-2
89600,2,13.0,1.0,3,30,339,018-6
54189,4,9.0,1.0,5,25,340,161-6
50070,3,6.0,2.0,5,28,341,041-5
28860,3,6.0,2.0,5,27,342,009-A
64100,2,24.0,1.0,5,25,343,428-6
62780,3,32.0,2.0,8,47,344,018-2
2400,1,6.0,1.0,4,30,345,099-A
31385,3,6.0,1.0,3,27,346,767-A
45069,2,6.0,1.0,4,25,347,350-3
56530,2,6.0,1.0,4,49,349,094-2
15700,2,6.0,1.0,4,29,350,123-8
72580,2,6.0,1.0,5,27,351,533-9
68040,3,4.0,1.0,5,31,353,087-8
40030,3,5.0,1.0,3,33,354,209-6
54926,3,6.0,1.0,3,25,355,102-5
66073,3,6.0,1.0,3,31,356,139-5
76080,2,6.0,1.0,3,28,357,099-6
2710,3,24.0,2.0,5,27,358,107-6
88615,1,6.0,1.0,3,29,359,204-2
54770,4,2.0,1.0,5,28,360,018-1
2459,4,5.0,2.0,5,26,362,027-5
11550,2,6.0,1.0,5,24,364,065-6
1460,3,24.0,2.0,5,27,365,051-0
1280,2,26.0,1.0,5,24,366,145-3
68010,3,6.0,1.0,4,41,367,202-2
1230,2,6.0,1.0,3,38,368,031-3
4260,2,6.0,1.0,3,63,370,022-A
7870,4,6.0,1.0,5,23,371,174-A
31376,4,9.0,2.0,3,36,372,705-9
5000,7,6.0,2.0,5,41,373,009-1
6820,3,6.0,2.0,4,30,374,106-A
55270,3,2.0,1.0,5,30,375,128-A
6400,4,24.0,1.0,4,28,377,049-A
54769,2,6.0,1.0,4,28,378,140-5
16450,1,2.0,2.0,5,26,379,073-9
91779,1,2.0,2.0,5,29,380,123-5
80189,4,6.0,1.0,3,31,381,472-1
22254,4,6.0,1.0,3,25,385,603-1
52977,3,6.0,1.0,5,26,386,078-7
22106,6,9.0,1.0,5,23,389,342-7
9560,3,6.0,2.0,3,26,391,253-0
66600,3,25.0,1.0,4,24,392,094-A
31140,3,25.0,1.0,3,20,393,639-A
50150,3,6.0,1.0,3,50,395,046-8
7090,4,5.0,1.0,5,57,396,266-3
88730,2,6.0,1.0,1,38,397,299-8
52149,5,6.0,1.0,5,26,398,121-8
50260,2,6.0,1.0,5,45,399,369-3
20030,2,6.0,2.0,5,26,400,038-A
50285,3,6.0,1.0,5,31,401,148-5
43800,3,2.0,2.0,3,23,403,022-8
56516,4,1.0,1.0,3,23,404,127-9
4640,4,32.0,2.0,5,29,405,085-5
42185,3,6.0,1.0,5,23,406,167-9
22500,3,6.0,1.0,2,23,407,744-9
86100,1,6.0,1.0,3,49,408,082-7
10320,2,13.0,1.0,3,20,409,009-0
2860,3,6.0,2.0,5,35,410,106-1
2660,3,6.0,2.0,4,24,412,037-9
10630,3,6.0,1.0,5,30,413,057-A
84093,3,6.0,1.0,3,23,415,042-6
43994,3,26.0,1.0,4,26,416,052-0
57200,2,6.0,2.0,5,23,417,026-1
62748,4,32.0,1.0,5,30,418,102-7
8800,2,6.0,2.0,5,23,419,076-8
56530,3,6.0,1.0,5,32,420,074-5
1290,3,6.0,2.0,5,26,422,196-6
1840,1,6.0,2.0,3,24,424,169-9
53570,1,6.0,1.0,3,20,425,221-8
56563,3,9.0,2.0,5,33,426,116-0
14380,2,6.0,2.0,5,24,428,100-0
53809,3,6.0,2.0,5,24,430,161-4
54060,3,26.0,1.0,5,23,431,189-A
56530,2,6.0,1.0,4,51,433,094-2
50290,3,10.0,1.0,2,58,434,070-1
56560,2,2.0,1.0,1,58,436,105-2
50200,2,3.0,1.0,4,26,437,358-5
57000,4,6.0,1.0,5,33,438,204-1
55090,3,6.0,2.0,5,33,439,022-4
55055,2,2.0,1.0,5,27,441,386-9
5410,4,5.0,1.0,3,28,442,038-8
55740,3,13.0,1.0,5,42,443,046-7
9620,2,6.0,2.0,5,40,444,263-4
68020,4,6.0,1.0,5,28,445,110-9
55719,2,6.0,1.0,2,24,446,042-3
13300,3,2.0,1.0,5,27,449,141-2
24400,2,6.0,2.0,5,24,450,218-4
24350,2,6.0,2.0,5,26,452,049-A
66100,4,2.0,1.0,5,28,454,057-9
34197,7,5.0,1.0,5,27,456,546-3
14200,3,6.0,1.0,5,23,457,086-9
7760,4,6.0,1.0,3,26,459,124-1
97203,2,6.0,1.0,4,37,460,652-4
1730,3,24.0,1.0,3,26,462,107-8
7270,7,6.0,2.0,5,34,463,031-3
57310,3,1.0,2.0,3,28,464,056-2
56353,2,26.0,2.0,5,27,465,018-3
50020,2,1.0,2.0,3,24,466,353-2
50170,3,6.0,1.0,3,49,467,208-9
50120,4,8.0,1.0,5,57,468,058-0
85820,4,1.0,1.0,4,36,469,118-3
60153,2,5.0,1.0,4,27,470,071-1
31384,2,6.0,1.0,5,43,471,706-3
55749,3,6.0,2.0,3,35,472,108-A
11820,2,6.0,2.0,5,24,474,110-3
57710,4,2.0,2.0,5,23,475,083-A
55023,2,6.0,1.0,5,25,476,461-7
54170,4,5.0,1.0,3,25,477,110-3
25296,3,6.0,1.0,3,24,478,213-6
15900,4,5.0,2.0,4,29,479,092-0
32280,4,37.0,1.0,5,29,480,389-1
56615,2,6.0,1.0,4,23,481,016-0
38400,4,6.0,1.0,4,23,482,026-3
50160,2,9.0,2.0,4,26,483,089-6
